time	V(1)	V(2)	V(3)	V(4)	V(5)	V(6)	V(7)	V(8)
3.139759520407333e-001	-7.576639e-008	-1.515304e-007	9.993675e-001	-1.406389e-004	9.992493e-001	-2.419283e-006	9.984974e-001	9.969993e-001
3.139759661801072e-001	-6.551195e-008	-1.310219e-007	9.993754e-001	-1.247610e-004	9.992495e-001	-2.091410e-006	9.984981e-001	9.970006e-001
3.139759807969806e-001	-5.635549e-008	-1.127092e-007	9.993829e-001	-1.096955e-004	9.992496e-001	-1.798672e-006	9.984987e-001	9.970018e-001
3.139760100307276e-001	-4.162740e-008	-8.325350e-008	9.993959e-001	-8.373903e-005	9.992499e-001	-1.327877e-006	9.984996e-001	9.970037e-001
3.139760591127895e-001	-2.484143e-008	-4.968208e-008	9.994120e-001	-5.165560e-005	9.992502e-001	-7.914396e-007	9.985006e-001	9.970058e-001
3.139761078319037e-001	-1.487250e-008	-2.974453e-008	9.994221e-001	-3.135152e-005	9.992504e-001	-4.729765e-007	9.985013e-001	9.970071e-001
3.139761762016681e-001	-7.108345e-009	-1.421647e-008	9.994302e-001	-1.513536e-005	9.992505e-001	-2.250483e-007	9.985018e-001	9.970081e-001
3.139762532314372e-001	-3.040927e-009	-6.081760e-009	9.994345e-001	-6.550028e-006	9.992505e-001	-9.523973e-008	9.985021e-001	9.970086e-001
3.139763526980015e-001	-9.396994e-010	-1.879370e-009	9.994367e-001	-2.112323e-006	9.992505e-001	-2.822655e-008	9.985022e-001	9.970089e-001
3.139764578655727e-001	-2.339955e-010	-4.679837e-010	9.994375e-001	-6.265658e-007	9.992505e-001	-5.741566e-009	9.985023e-001	9.970089e-001
3.139765398594099e-001	-5.592404e-011	-1.118463e-010	9.994377e-001	-2.532892e-007	9.992506e-001	-7.362111e-011	9.985023e-001	9.970090e-001
3.139765921671598e-001	-4.082679e-012	-8.165231e-012	9.994377e-001	-1.450057e-007	9.992506e-001	1.575407e-009	9.985023e-001	9.970090e-001
3.139766260807037e-001	1.685373e-011	3.370693e-011	9.994377e-001	-1.013456e-007	9.992506e-001	2.241140e-009	9.985023e-001	9.970090e-001
3.139766589002148e-001	3.117284e-011	6.234471e-011	9.994378e-001	-7.149492e-008	9.992506e-001	2.696345e-009	9.985023e-001	9.970090e-001
3.139766968007290e-001	4.268185e-011	8.536237e-011	9.994378e-001	-4.750106e-008	9.992506e-001	3.062124e-009	9.985023e-001	9.970090e-001
3.139767384713176e-001	5.107650e-011	1.021514e-010	9.994378e-001	-2.999149e-008	9.992506e-001	3.328843e-009	9.985023e-001	9.970090e-001
3.139767787624326e-001	5.636262e-011	1.127235e-010	9.994378e-001	-1.895736e-008	9.992506e-001	3.496743e-009	9.985023e-001	9.970090e-001
3.139768311445526e-001	6.065773e-011	1.213136e-010	9.994378e-001	-9.985131e-009	9.992506e-001	3.633119e-009	9.985023e-001	9.970090e-001
3.139768941667177e-001	6.351160e-011	1.270212e-010	9.994378e-001	-4.017159e-009	9.992506e-001	3.723692e-009	9.985023e-001	9.970090e-001
3.139769826102201e-001	6.537440e-011	1.307468e-010	9.994378e-001	-1.186787e-010	9.992506e-001	3.782778e-009	9.985023e-001	9.970090e-001
3.139770907057247e-001	6.617350e-011	1.323449e-010	9.994378e-001	1.555671e-009	9.992506e-001	3.808107e-009	9.985023e-001	9.970090e-001
3.139772487094522e-001	6.646037e-011	1.329187e-010	9.994378e-001	2.156255e-009	9.992506e-001	3.817207e-009	9.985023e-001	9.970090e-001
3.139778751249806e-001	6.649286e-011	1.329836e-010	9.994378e-001	2.223812e-009	9.992506e-001	3.818260e-009	9.985023e-001	9.970090e-001
